Charge_Code,Amount,Property_ID,Property_Name,Report_Date
RENT,1013353.67,126r,The Halden,02/25/2026
AMENITY,13550.0,126r,The Halden,02/25/2026
PARKING,27625.0,126r,The Halden,02/25/2026
CONRENT,-19968.64,126r,The Halden,02/25/2026
BIKE,700.0,126r,The Halden,02/25/2026
PETFEEM,1535.0,126r,The Halden,02/25/2026
SEC8CRD,-2907.0,126r,The Halden,02/25/2026
SUBSIDY,2907.0,126r,The Halden,02/25/2026
CONEMP,-1950.5,126r,The Halden,02/25/2026
RENTRETL,3476.0,153c,Abbot Mill,02/25/2026
W/D,1690.0,138a,Everbend Tarrytown,02/25/2026
RENTAFF,78267.0,138a,Everbend Tarrytown,02/25/2026
GARAGE,6015.0,138a,Everbend Tarrytown,02/25/2026
STORAGE,1375.0,138a,Everbend Tarrytown,02/25/2026
SALESTX,510.9,138a,Everbend Tarrytown,02/25/2026
SUBSIDY,6355.0,138a,Everbend Tarrytown,02/25/2026
PARKING,450.0,138a,Everbend Tarrytown,02/25/2026
AMENITY,50.0,138a,Everbend Tarrytown,02/25/2026
TRASH,22.0,138a,Everbend Tarrytown,02/25/2026
WATER,22.0,138a,Everbend Tarrytown,02/25/2026
AMENITY,400.0,139r,The Mill Greenwich,02/25/2026
RENT,410291.9,139r,The Mill Greenwich,02/25/2026
STORAGE,6048.37,139r,The Mill Greenwich,02/25/2026
PETFEEM,1035.0,139r,The Mill Greenwich,02/25/2026
GARAGE,5777.5,139r,The Mill Greenwich,02/25/2026
CONPARK,-175.0,139r,The Mill Greenwich,02/25/2026
CONGAR,-1750.0,139r,The Mill Greenwich,02/25/2026
RENTAFF,34087.0,126a,The Halden,02/25/2026
PARKING,1180.0,126a,The Halden,02/25/2026
PETFEEM,100.0,126a,The Halden,02/25/2026
BIKE,20.0,126a,The Halden,02/25/2026
RENT,1557081.66,144r,Winners Circle,02/25/2026
HOMEPCKG,41448.77,144r,Winners Circle,02/25/2026
SDFEE,11812.0,144r,Winners Circle,02/25/2026
GARAGE,6600.0,144r,Winners Circle,02/25/2026
PETFEEM,13230.0,144r,Winners Circle,02/25/2026
AMENITY,7300.0,144r,Winners Circle,02/25/2026
CONEMP,-736.8,144r,Winners Circle,02/25/2026
RENT,667871.0,138r,Everbend Tarrytown,02/25/2026
AMENITY,10850.0,138r,Everbend Tarrytown,02/25/2026
PARKING,8075.0,138r,Everbend Tarrytown,02/25/2026
TRASH,4840.0,138r,Everbend Tarrytown,02/25/2026
WATER,3716.0,138r,Everbend Tarrytown,02/25/2026
GARAGE,15240.0,138r,Everbend Tarrytown,02/25/2026
SALESTX,1023.47,138r,Everbend Tarrytown,02/25/2026
CONRENT,-43063.0,138r,Everbend Tarrytown,02/25/2026
PETFEEM,1430.0,138r,Everbend Tarrytown,02/25/2026
W/D,2070.0,138r,Everbend Tarrytown,02/25/2026
MTM,1300.0,138r,Everbend Tarrytown,02/25/2026
STORAGE,1400.0,138r,Everbend Tarrytown,02/25/2026
CONPARK,-75.0,138r,Everbend Tarrytown,02/25/2026
RENTHAP,2217.0,138r,Everbend Tarrytown,02/25/2026
CONEMP,-3008.0,138r,Everbend Tarrytown,02/25/2026
SUBSIDY,1157.0,138r,Everbend Tarrytown,02/25/2026
RENT,541283.0,143a,The Ellsworth,02/25/2026
HOMEPCKG,16225.0,143a,The Ellsworth,02/25/2026
SDFEE,7310.77,143a,The Ellsworth,02/25/2026
PARKING,13125.0,143a,The Ellsworth,02/25/2026
PETFEEM,3050.0,143a,The Ellsworth,02/25/2026
CONPARK,-5850.0,143a,The Ellsworth,02/25/2026
CONRENT,-6831.0,143a,The Ellsworth,02/25/2026
AMENITY,300.0,143a,The Ellsworth,02/25/2026
PARKING,53700.0,134r,55 Riverwalk Place,02/25/2026
RENT,1131389.77,134r,55 Riverwalk Place,02/25/2026
TRASH,1890.0,134r,55 Riverwalk Place,02/25/2026
STORAGE,1445.0,134r,55 Riverwalk Place,02/25/2026
CONEMP,-4808.2,134r,55 Riverwalk Place,02/25/2026
CONPARK,-5250.0,134r,55 Riverwalk Place,02/25/2026
PETFEEM,950.0,134r,55 Riverwalk Place,02/25/2026
CONRENT,-150.0,134r,55 Riverwalk Place,02/25/2026
PETFEE,50.0,134r,55 Riverwalk Place,02/25/2026
AMENITY,910.0,134r,55 Riverwalk Place,02/25/2026
CONPETM,-50.0,134r,55 Riverwalk Place,02/25/2026
RENT,4144.0,175r,Kinwood Apartments,02/25/2026
RENTRETL,83379.28,139c,The Mill Greenwich,02/25/2026
CAMEST,7800.29,139c,The Mill Greenwich,02/25/2026
AMENITY,150.0,139c,The Mill Greenwich,02/25/2026
RETXEST,2322.0,139c,The Mill Greenwich,02/25/2026
UTILCOM,1422.5,139c,The Mill Greenwich,02/25/2026
RENTRETL,40040.49,143c,The Ellsworth,02/25/2026
CAMEST,11307.48,143c,The Ellsworth,02/25/2026
RETXEST,871.66,143c,The Ellsworth,02/25/2026
CAMINSR,213.68,143c,The Ellsworth,02/25/2026
RNTPROF,5484.83,143c,The Ellsworth,02/25/2026
PETFEEM,4335.0,153r,Abbot Mill,02/25/2026
RENT,536259.0,153r,Abbot Mill,02/25/2026
GARAGE,9870.0,153r,Abbot Mill,02/25/2026
STORAGE,1075.0,153r,Abbot Mill,02/25/2026
PARKING,1070.0,153r,Abbot Mill,02/25/2026
CONPARK,-256.45,153r,Abbot Mill,02/25/2026
CONRENT,-36038.16,153r,Abbot Mill,02/25/2026
MTM,1127.0,153r,Abbot Mill,02/25/2026
CONGAR,-2120.0,153r,Abbot Mill,02/25/2026
RENTAFF,22291.0,153a,Abbot Mill,02/25/2026
PETFEEM,290.0,153a,Abbot Mill,02/25/2026
RENT,2811.0,153a,Abbot Mill,02/25/2026
PARKING,150.0,153a,Abbot Mill,02/25/2026
STORAGE,185.0,153a,Abbot Mill,02/25/2026
SUBSIDY,1930.0,153a,Abbot Mill,02/25/2026
MTM,1930.0,153a,Abbot Mill,02/25/2026
RENTAFF,147647.5,462a,Stony Run,02/25/2026
PETFEEM,1690.0,462a,Stony Run,02/25/2026
TRASH,6180.0,462a,Stony Run,02/25/2026
STORAGE,525.0,462a,Stony Run,02/25/2026
RENT,259563.58,462a,Stony Run,02/25/2026
SUBSIDY,30963.0,462a,Stony Run,02/25/2026
SEC8CRD,-30963.0,462a,Stony Run,02/25/2026
RENT,754322.32,115r,Canfield Park,02/25/2026
PETFEEM,2300.0,115r,Canfield Park,02/25/2026
AMENITY,12020.0,115r,Canfield Park,02/25/2026
PARKING,28490.0,115r,Canfield Park,02/25/2026
TRASH,4350.0,115r,Canfield Park,02/25/2026
CONRENT,-8936.39,115r,Canfield Park,02/25/2026
STORAGE,2175.0,115r,Canfield Park,02/25/2026
CONSTOR,-200.0,115r,Canfield Park,02/25/2026
CONAMEN,-40.0,115r,Canfield Park,02/25/2026
