Resident_Type,Sq_Ft,Market_Rent,Lease_Charges,Security_Deposit,Other_Deposits,Num_Units,Pct_Unit_Occupancy,Pct_Sqft_Occupied,Balance,Property_ID,Property_Name,Report_Date
Current/Notice/Vacant Residents,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,134c,55 Riverwalk Place,02/25/2026
Future Residents/Applicants,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,134c,55 Riverwalk Place,02/25/2026
Occupied Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,134c,55 Riverwalk Place,02/25/2026
Total Non Rev Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,134c,55 Riverwalk Place,02/25/2026
Total Vacant Units,0.0,0.0,0.0,0.0,0.0,3,100.0,0.0,0.0,134c,55 Riverwalk Place,02/25/2026
Current/Notice/Vacant Residents,60000.0,132806.0,0.0,97094.5,0.0,67,94.02,94.5,-1500.0,185r,Waterfront at the Strand,02/25/2026
Future Residents/Applicants,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,185r,Waterfront at the Strand,02/25/2026
Occupied Units,56700.0,125290.0,0.0,0.0,0.0,63,94.02,94.5,0.0,185r,Waterfront at the Strand,02/25/2026
Total Non Rev Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,185r,Waterfront at the Strand,02/25/2026
Total Vacant Units,3300.0,7516.0,0.0,0.0,0.0,4,5.97,5.5,0.0,185r,Waterfront at the Strand,02/25/2026
Current/Notice/Vacant Residents,287190.0,1108579.0,1034844.53,475945.0,2500.0,284,96.47,96.51,63756.69,126r,The Halden,02/25/2026
Future Residents/Applicants,5612.0,21755.0,0.0,11713.0,0.0,5,0.0,0.0,-10213.0,126r,The Halden,02/25/2026
Occupied Units,277177.0,1069255.0,0.0,0.0,0.0,274,96.47,96.51,0.0,126r,The Halden,02/25/2026
Total Non Rev Units,808.0,3289.0,0.0,0.0,0.0,1,0.35,0.29,0.0,126r,The Halden,02/25/2026
Total Vacant Units,9205.0,36035.0,0.0,0.0,0.0,9,3.16,3.21,0.0,126r,The Halden,02/25/2026
Current/Notice/Vacant Residents,109897.0,235333.0,0.0,134457.0,0.0,118,95.76,94.92,0.0,183r,Luckey Platt,02/25/2026
Future Residents/Applicants,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,183r,Luckey Platt,02/25/2026
Occupied Units,104322.0,224358.0,0.0,0.0,0.0,113,95.76,94.92,0.0,183r,Luckey Platt,02/25/2026
Total Non Rev Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,183r,Luckey Platt,02/25/2026
Total Vacant Units,5575.0,10975.0,0.0,0.0,0.0,5,4.23,5.07,0.0,183r,Luckey Platt,02/25/2026
Current/Notice/Vacant Residents,0.0,0.0,3476.0,0.0,0.0,7,14.28,0.0,0.0,153c,Abbot Mill,02/25/2026
Future Residents/Applicants,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,153c,Abbot Mill,02/25/2026
Occupied Units,0.0,0.0,0.0,0.0,0.0,1,14.28,0.0,0.0,153c,Abbot Mill,02/25/2026
Total Non Rev Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,153c,Abbot Mill,02/25/2026
Total Vacant Units,0.0,0.0,0.0,0.0,0.0,6,85.71,0.0,0.0,153c,Abbot Mill,02/25/2026
